Property Code,Unit Code,Last Updated,Office%,WH Lights,Office Lights,Elect. Panel,Sensors,Lights replaced by FP?,In unit meter,Submeter,Elec. Power VOLTS,Elec. Power AMPS,Elec. Connection,WH Heating,WH Conditioned ,WH Tonnage,Office Conditioned,Office Tonnage,HVAC Panel,Hazard usage,Hazard Materials ,Hazard Notes,# Drive ins ,# Dock Doord
"xga1610s","A       ","2024-10-03 00:00:00",7,"Fluorescent","Fluorescent","No","No","No","Yes","No","277/480",400,"3 Phase","Gas Heaters","No",,"Yes",6,"No","No",,,,
"xga2900j","A       ","2024-04-15 00:00:00",7.5,"LED","LED","No","Yes","No","Yes","N/A","277/480",600,"3 Phase","Gas Heaters","No",0,"Yes",14,"No","No","","",0,0
"3md00001","A-E     ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","F       ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","G       ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","H       ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","IJK     ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","L       ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","MN      ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","OP      ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","Q       ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3md00001","RS      ","2024-04-15 00:00:00",0,"","","N/A","N/A","N/A","N/A","N/A","",0,"N/A","N/A","No",0,"Yes",0,"N/A","N/A","","",0,0
"3ga00001","A       ","2024-04-19 00:00:00",77,"Fluorescent","Fluorescent","No","No","No","Yes","N/A","120/208",1600,"3 Phase","Packaged Units","Yes",0,"Yes",37.5,"No","No","","",0,0
"3ga00001","B       ","2024-04-19 00:00:00",25,"LED","LED","No","No","Yes","Yes","N/A","120/208",1000,"3 Phase","Gas Heaters","No",0,"Yes",8,"No","No","","",0,0
"xga4450c","A       ","2024-04-15 00:00:00",11,"LED","LED","No","No","Yes","Yes","No","120/208",400,"3 Phase","Gas Heaters","No",0,"Yes",8,"No","No","","",0,0
"xil7760m",100     ,"2024-10-07 00:00:00",11.23,"Fluorescent","Fluorescent","No","No","No","Yes","No","120/240",1400,"3 Phase","Gas Heaters","No",0,"Yes",24.5,"No","No",,,,
"xil1000e",100     ,"2024-10-03 00:00:00",38.8,"High-Intensity Discharge","LED","No","No","No","Yes","No","120/208",800,"3 Phase","Gas Heaters","No",,"Yes",44,"No","No",,,,
"3tn00001",1       ,"2024-04-17 00:00:00",7,"Fluorescent","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps100-400",0,0
"3tn00001",10      ,"2024-04-17 00:00:00",0,"Fluorescent","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",0,"Yes","No","","amps 100-400",0,0
"3tn00001",2       ,"2024-04-17 00:00:00",5,"LED","Fluorescent","Yes","No","No","Yes","No","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps 100-400",0,0
"3tn00001",3       ,"2024-04-17 00:00:00",5,"Fluorescent","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps 100-400",0,0
"3tn00001",4       ,"2024-04-17 00:00:00",6,"LED","Fluorescent","Yes","No","Yes","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps 100-400",0,0
"3tn00001",5       ,"2024-04-17 00:00:00",2,"Fluorescent","Fluorescent","Yes","No","No","Yes","No","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps 100-400",0,0
"3tn00001",6       ,"2024-04-17 00:00:00",15,"Fluorescent","LED","Yes","No","Yes","Yes","No","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps 100-400",0,0
"3tn00001",7       ,"2024-04-17 00:00:00",11,"Fluorescent","Fluorescent","Yes","No","Yes","Yes","No","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps 100-400",0,0
"3tn00001",8       ,"2024-04-17 00:00:00",5,"LED","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",2.5,"Yes","No","","amps 100-400",0,0
"3tn00001",9       ,"2024-04-17 00:00:00",0,"Fluorescent","","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",3,"Yes",0,"Yes","No","","amps 100-400",0,0
"3tn00001","AD      ","2024-10-07 00:00:00",0,"N/A","N/A","N/A","No","N/A","N/A","N/A",0,0,"N/A","N/A","N/A",0,"N/A",0,"N/A","N/A",,,0,0
"3tn00002",1       ,"2024-04-17 00:00:00",10,"Fluorescent","Fluorescent","Yes","No","No","Yes","N/A","120/240",100,"3 Phase","Gas Heaters","No",15,"Yes",3,"Yes","No","","amps 100-400",0,0
