Property Code,Property Address,City,Property State,ZIP,Is Land?,Fund,Legal Entity,ACQ Status,Acq. Date,Dispo. Date
"xga130j ","130 James Aldredge Boulevard ","Atlanta","GA",30336,,"FRG X                                                                           ","FRG-X-GA1 LP                                                                    ","Acquired                                                                        ","2021-08-10 00:00:00",
"xga1585r","1585 Roadhaven Drive","Stone Mountain","GA",30083,,"FRG X                                                                           ","FRG-X-AP-GA LP                                                                  ","Acquired                                                                        ","2022-07-05 00:00:00",
"xga1610s","1610 Spectrum Drive","Lawrenceville","GA",30043,,"FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","2022-06-16 00:00:00",
"xga2100b","2100 Boggs Road Northwest","Duluth","GA",30096,,"FRG X                                                                           ","FRG-X-AP-GA LP                                                                  ","Acquired                                                                        ","2021-12-16 00:00:00",
"xga265c ","265 Castleberry Industrial Drive","Cumming","GA",30319,,"FRG X                                                                           ","FRG-X-AP-GA LP                                                                  ","Acquired                                                                        ","2021-10-04 00:00:00",
"xga2900j","2900 Jones Mill Road","Peachtree Corners","GA",30071,,"FRG X                                                                           ","FRG-X-AP-GA LP                                                                  ","Acquired                                                                        ","2022-06-16 00:00:00",
"xga3350h","3350 Hamilton Boulevard SW","Atlanta ","GA",30354,,"FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","2022-02-22 00:00:00",
"xga3471a","3471 Atlanta Industrial Parkway ","Atlanta","GA",30331,,"FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","2022-05-31 00:00:00",
"xga3651c","3651 Clearview Place","Doraville","GA",30340,,"FRG X                                                                           ","FRG-X-AP-GA LP                                                                  ","Acquired                                                                        ","2022-06-23 00:00:00",
"xga401wi","401 Windsor Street SW, Atlanta, GA 30312","Atlanta","GA",30312,,"FRG X                                                                           ","FRG-X-GA2 LP                                                                    ","Acquired                                                                        ","2022-03-30 00:00:00",
