customer_id,tenant_id,tenant_name,property_address,property_name,property_code,fund,naics,lease_id,credit_score,credit_score_date,parent_customer_id,tenant_risk,amendment_start_date,amendment_type,amendment_status
,t0001523,,"nan Pennsauken, NJ 8110.0",1601-1641 Sherman Avenue,xnj1601s,2,,342884,,,,,,Original Lease,Activated
,t0001535,,"nan Dallas, TX 75220.0",2616 Andjon Drive,xtx2616a,2,,347122,,,,,,Original Lease,Activated
,t0001669,,"nan Glendale Heights, IL 60139.0",700 High Grove Boulevard,xil700h,2,,367963,,,,,,Proposal in DM,Activated
,t0000835,,"nan Columbia, MD 21045.0",9176 Red Branch,3md00001,3,,300258,,,,,,Renewal,Activated
,t0000841,,"nan Columbia, MD 21045.0",9176 Red Branch,3md00001,3,,211740,,,,,,Renewal,Activated
,t0000847,,"nan Norristown, PA 19401.0",9 S. Forrest Avenue,3pa00001,3,,280806,,,,,,Renewal,Activated
,t0000865,,"nan Memphis, TN 38118.0",3298 Democrat,3tn00002,3,,304038,,,,,,Renewal,Activated
,t0000866,,"nan Miami, FL 33142.0",3330 NW 60th St,3fl00003,3,,214119,,,,,,Renewal,Activated
,t0000874,,"nan Memphis, TN 38118.0",3272 Democrat,3tn00004,3,,220178,,,,,,Renewal,Activated
,t0000891,,"nan Memphis, TN 38118.0",3338-3352 Democrat,3tn00001,3,,234269,,,,,,Renewal,Activated
,t0000908,,"nan Wayne, NJ 7470.0",26 Hanes Drive,3nj00003,3,,248018,,,,,,Renewal,Activated
,t0000910,,"nan Conyers, GA 30012.0",801 Blacklawn Road,3ga00002,3,,217127,,,,,,Renewal,Activated
,t0000924,,"nan Marietta, GA 30066.0",1100 Shallowford Rd,3ga00003,3,,300464,,,,,,Renewal,Activated
,t0000930,,"nan Columbus, OH 43209.0",2060-2098 N Integrity Dr,3oh00001,3,,265412,,,,,,Renewal,Activated
,t0000934,,"nan Columbus, OH 43209.0",2060-2098 N Integrity Dr,3oh00001,3,,265465,,,,,,Renewal,Activated
,t0001002,,"nan Branchburg, NJ 8876.0",3140 Route 22,3nj00006,3,,333216,,,,,,Renewal,Activated
,t0001023,,"nan Windsor Mill, MD 21244.0",7120 Ambassador Road,3md00004,3,,232023,,,,,,Termination,Activated
,t0001082,,"nan Charlotte, NC 28273.0",2101 Westinghouse Boulevard,3nc00004,3,,284934,,,,,,Renewal,Activated
,t0001088,,"nan Charlotte, NC 28273.0",2101 Westinghouse Boulevard,3nc00004,3,,372602,,,,,,Original Lease,Activated
,t0001089,,"nan Charlotte, NC 28206.0",4112 Joe Street,3nc00002,3,,313522,,,,,,Original Lease,Activated
,t0001100,,"nan Atlanta, GA 30318.0",2005 Marietta Rd,3ga00004,3,,193825,,,,,,Original Lease,Activated
,t0001116,,"nan Charlotte, NC 28208.0",2200 Executive Street,3nc00005,3,,197903,,,,,,Original Lease,Activated
,t0001129,,"nan Allendale, NJ 7401.0",6 Pearl Court,3nj00014,3,,297185,,,,,,Original Lease,Activated
,t0001144,,"nan Allendale, NJ 7401.0",3 Pearl Court,3nj00012,3,,255862,,,,,,Original Lease,Activated
,t0001179,,"nan Cockeysville, MD 21030.0",221 Cockeysville Road,3md00005,3,,316552,,,,,,Proposal in DM,Activated
,t0001187,,"nan Memphis, TN 38118.0",3338-3352 Democrat,3tn00001,3,,222187,,,,,,Renewal,Activated
,t0001204,,"nan Richardson, TX 75081.0",1800-20 N Glenville Drive,3tx00015,3,,241796,,,,,,Renewal,Activated
,t0001245,,"nan Norcross, GA 30093.0",3905 Steve Reynolds Blvd,3ga00006,3,,313971,,,,,,Contraction,Activated
,t0001246,,"nan Norcross, GA 30093.0",3905 Steve Reynolds Blvd,3ga00006,3,,313535,,,,,,Expansion,Activated
,t0001251,,"nan Norcross, GA 30093.0",4025 Steve Reynolds Blvd,3ga00007,3,,280211,,,,,,Renewal,Activated
,t0001271,,"nan Atlanta, GA 30318.0",2160 Hills Avenue,3ga00001,3,,262464,,,,,,Original Lease,Activated
,t0001273,,"nan Memphis, TN 38118.0",3696 Knight Road,3tn00006,3,,272237,,,,,,Renewal,Activated
,t0001278,,"nan Memphis, TN 38141.0",5445 E Raines,3tn00009,3,,280644,,,,,,Termination,Activated
,t0001280,,"nan Memphis, TN 38115.0",5425 E Raines,3tn00008,3,,275483,,,,,,Termination,Activated
,t0001281,,"nan Memphis, TN 38118.0",3755 Knight Arnold Road,3tn00014,3,,273925,,,,,,Renewal,Activated
