amendment_hmy,property_code,tenant_id,amendment_status,amendment_sf,category,priority
119221,3ca00003,t0001471,Activated,6184,RENT_EXPECTED,CRITICAL
119230,3tn00007,t0001284,Superseded,120000,HISTORICAL_RENT,HIGH
44591,3ga00001,t0000855,Superseded,18337,HISTORICAL_RENT,HIGH
50687,3ga00004,t0001100,Superseded,15372,HISTORICAL_RENT,HIGH
50709,xohmost,t0001072,Superseded,0,REVIEW_REQUIRED,MEDIUM
50473,xfl11660,t0000670,Superseded,65806,HISTORICAL_RENT,HIGH
119336,xnj2050h,t0000779,Activated,0,REVIEW_REQUIRED,MEDIUM
119337,xnj17pol,t0000630,Superseded,20897,HISTORICAL_RENT,HIGH
115867,tnuni106,t0000197,Activated,961,RENT_EXPECTED,CRITICAL
115868,tnuni106,t0000198,Activated,1115,RENT_EXPECTED,CRITICAL
115869,tnuni106,t0000200,Activated,2210,RENT_EXPECTED,CRITICAL
115870,tnuni106,t0000201,Activated,3293,RENT_EXPECTED,CRITICAL
115871,tnuni106,t0000258,Activated,1405,RENT_EXPECTED,CRITICAL
115872,tnuni106,t0000260,Activated,1929,RENT_EXPECTED,CRITICAL
115873,tnuni106,t0000263,Activated,1267,RENT_EXPECTED,CRITICAL
115874,tnuni106,t0000294,Activated,529,RENT_EXPECTED,CRITICAL
115875,tnuni106,t0000295,Activated,706,RENT_EXPECTED,CRITICAL
115876,tnuni106,t0000296,Activated,2965,RENT_EXPECTED,CRITICAL
115877,tnuni106,t0000206,Activated,1048,RENT_EXPECTED,CRITICAL
115878,tnuni106,t0000207,Activated,3021,RENT_EXPECTED,CRITICAL
115879,tnuni106,t0000203,Activated,1224,RENT_EXPECTED,CRITICAL
115880,tnuni106,t0000259,Activated,561,RENT_EXPECTED,CRITICAL
115881,tnpop107,t0000299,Activated,1162,RENT_EXPECTED,CRITICAL
115882,tnpop107,t0000300,Activated,1231,RENT_EXPECTED,CRITICAL
