record hmy,amendment hmy,tenant hmy,tenant code,property hmy,property code,unit hmy,unit name,dtleasefrom,dtleaseto,hoption,hproposal,binactive,dtinactive,hamendmentinactive,dtmovein,dtmoveout,snotes,dsqft,hmasterunit,bactive,hcondocontract,ipersontype,hcommmoveoutreason,hforeigndb,sextreference,hcopyfrom,ispastprimaryowner,hcommmlaoverride,trowversion,dtclose,dtaxestimate
34249,34293,28434,t0001011,4800,3fl00006,24485,AB,45008,46112,,,,,,40634,,,12000,0,0,,,,,,,,0,AAAAAADUrfg=,,
34263,34311,28436,t0001012,3635,xga4450c,12622,A,45011,46934,,,,,,45011,,,18700,0,0,,,,,,,,0,AAAAAAHOnr4=,,
34259,34303,28536,t0001013,3545,xil231ja,9151,237,45017,46904,,,,,,45017,,,7500,0,0,,,,,,,,0,AAAAAAB+pCw=,,
34260,34303,28536,t0001013,3545,xil231ja,9154,239,45017,46904,,,,,,45017,,,7500,0,0,,,,,,,,0,AAAAAAB+pC0=,,
34264,34306,28906,t0001014,911,gasc3016,195,772,45017,45006,,,,,115977,45017,45006,,60408,0,0,,,,,,,,0,AAAAAAGriWY=,,
35952,34310,28908,t0001015,3636,xfl3333c,12079,200,45017,45461,,,,,115984,45017,45461,,39000,0,0,,,,,,,,0,AAAAAAGrik4=,,
35688,34333,29046,t0001016,3669,xil222ja,12834,224,45047,46934,,,,,,45047,,,12905,0,0,,,,,,,,0,AAAAAACDrXw=,,
34301,34350,29069,t0001017,1653,xtxritti,2983,3,45031,45539,,,,,81532,45031,45539,,8730,0,0,,,,,,,,0,AAAAAAFS3KY=,,
34302,34351,29149,t0001018,4818,3nj00007,24533,1145,45026,49765,,,,,,45026,,,56628,0,0,,,,,,,,0,AAAAAADM9hQ=,,
34303,34352,29152,t0001019,4819,3nj00008,24534,1125,45026,49765,,,,,,45026,,,56629,0,0,,,,,,,,0,AAAAAACPr9k=,,
34402,34439,29302,t0001020,3634,3ga00001,12598,B,45047,46934,,,,,,45047,,,13950,0,0,,,,,,,,0,AAAAAAFIqSE=,,
34406,34442,29305,t0001021,1876,xnj17pol,3865,03,45078,46965,,,,,,45078,,,18880,0,0,,,,,,,,0,AAAAAAB/U0g=,,
35682,35755,30323,t0001022,5070,3oh00003,25516,3232,45064,46173,,,,,,45078,,,33466,0,0,,,,,,,,0,AAAAAACDrr0=,,
35684,35756,30324,t0001023,4115,3md00004,25517,PARK,45047,45412,,,,,70126,45047,45412,,0,0,0,,,,,,,,0,AAAAAADtIuY=,,
118949,119457,30324,t0001023,4115,3md00004,25517,PARK,45778,45808,,,,,119918,45778,45808,,0,0,0,,,,,,,,0,AAAAAAHl4Nk=,,
69558,70126,30324,t0001023,4115,3md00004,25517,PARK,45413,45777,,,,,119457,45413,45777,,0,0,0,,,,,,,,0,AAAAAAHNywk=,,
35686,35757,30325,t0001024,2992,xtx2616a,5316,2614,45078,46965,,,,,,45078,,,8204,0,0,,,,,,,,0,AAAAAACD1MA=,,
